id	type	label_de	label_en	parent	comment_de
BY_0000039	Individual	Textiles Gestalten			
BY_0000040	Individual	Werken			
BY_0000041	Individual	Wirtschaft und Recht			
BY_0000042	Individual	Archäologie			
BY_0000043	Individual	Berufliche Orientierung			
BY_0000044	Individual	Biologisch-chemisches Praktikum			
BY_0000045	Individual	Chinesisch			
BY_0000046	Individual	Geologie			
BY_0000047	Individual	Griechisch			
BY_0000048	Individual	Instrumentalensemble			
BY_0000049	Individual	Italienisch			
BY_0000050	Individual	Latein			
BY_0000051	Individual	Natur und Technik (Gym)			
BY_0000052	Individual	Polnisch			
BY_0000053	Individual	Psychologie			
BY_0000054	Individual	Russisch			
BY_0000055	Individual	Sozialpraktische Grundbildung			
BY_0000056	Individual	Sozialwissenschaftliche Arbeitsfelder			
BY_0000057	Individual	Sport und Gesellschaft			
BY_0000058	Individual	Tanz- und Bewegungskünstetheater			
BY_0000059	Individual	Theater und Film			
BY_0000060	Individual	Tschechisch			
BY_0000061	Individual	Türkisch			
BY_0000062	Individual	Vokalensemble			
BY_0000063	Individual	Wirtschaftsinformatik			
BY_0000064	Individual	Wissenschaftspopädeutisches Seminar			
BY_0000065	Individual	Betriebswirtschaftliche Steuerung und Kontrolle			
BY_0000066	Individual	Digitale Bildung			
BY_0000067	Individual	Geschichte/Politik und Gesellschaft (WS)			
BY_0000068	Individual	Informationsverarbeitung			
BY_0000069	Individual	Mensch, Umwelt, Technik			
BY_0000070	Individual	Mensch und Umwelt			
BY_0000071	Individual	Musisch-ästhetische Bildung			
BY_0000072	Individual	Wirtschaftsgeographie			
BY_0000073	Individual	Ökonomische Bildung			
BY_0000074	Individual	Ökonomische Bildung und Digitale Bildung			
BY_0000075	Individual	Übungsunternehmen			
BY_0000076	Individual	Biotechnologie			
BY_0000077	Individual	Englisch Book Club			
BY_0000078	Individual	Experimentelles Gestalten			
BY_0000079	Individual	Fachpraktische Ausbildung			
BY_0000080	Individual	Geschichte/Politik und Gesellschaft (FOS/BOS)			
BY_0000081	Individual	Gestaltung			
BY_0000082	Individual	Gesundheitswirtschaft und Recht			
BY_0000083	Individual	Gesundheitswissenschaften			
BY_0000084	Individual	Internatinal Business Studies			
BY_0000085	Individual	Internationale Betriebswirtschaftslehre und Volkswirtschaftslehre			
BY_0000086	Individual	Internationale Politik			
BY_0000087	Individual	Kommunikation und Interaktion			
BY_0000088	Individual	Medien			
BY_0000089	Individual	Naturwissenschaften			
BY_0000090	Individual	Pädagogik/Psychologie			
BY_0000091	Individual	Rechtslehre			
BY_0000092	Individual	Sozialpsychologie			
BY_0000093	Individual	Sozialwirtschaft und Recht			
BY_0000094	Individual	Soziologie			
BY_0000095	Individual	Spektrum der Gesundheit			
BY_0000096	Individual	Studier- und Arbeitstechniken			
BY_0000097	Individual	Technologie			
BY_0000098	Individual	Volkswirtschaftslehre			
BY_0000099	Individual	Wirtschaft Aktuell			
BY_0000100	Individual	Beruf und Arbeit			
BY_0000101	Individual	Freizeit			
BY_0000102	Individual	Grundlegender entwicklungsbezogener Unterricht			
BY_0000103	Individual	Leben in der Gesellschaft			
BY_0000104	Individual	Mobilität			
BY_0000105	Individual	Persönlichkeit und soziale Beziehungen			
BY_0000106	Individual	Sach- und lebensbezogener Unterricht			
BY_0000107	Individual	Sport und Bewegung			
BY_0000108	Individual	Wohnen			
BY_0000109	Individual	Rhythmik und Musik			
BY_0000110	Individual	Berufs- und Lebensorientierung - Praxis Ernährung und Soziales			
BY_0000111	Individual	Berufs- und Lebensorientierung - Praxis Technik			
BY_0000112	Individual	Berufs- und Lebensorientierung - Theorie			
BY_0000113	Individual	Geschichte/Politik/Geographie und Natur und Technik (FS)			
BY_0000114	Individual	Blindenkurzschrift			
BY_0000115	Individual	Blindheit und Lebenspraxis			
BY_0000116	Individual	Informations- und Kommunikationstechnische Bildung			
BY_0000117	Individual	Werken und Gestalten / Kunst			
BY_0000118	Individual	Ästhetische Bildung			
HB_0000000	Individual	Schulfächer (Bremen)			
HB_0000001	Individual	Ästhetik			
HB_0000002	Individual	Bildungsplan fortgeführte Fremdsprachen			
HB_0000003	Individual	Biologie			
HB_0000004	Individual	Biologie bilingual			
HB_0000005	Individual	Chemie			
HB_0000006	Individual	Chinesisch			
HB_0000007	Individual	Darstellendes Spiel			
HB_0000008	Individual	Deutsch			
HB_0000009	Individual	Deutsch als Zweitsprache			
HB_0000010	Individual	Englisch			
HB_0000011	Individual	European Studies			
HB_0000012	Individual	Französisch			
HB_0000013	Individual	Französisch und Spanisch			
HB_0000014	Individual	Französisch/Spanisch 2. Fremdsprache			
HB_0000015	Individual	Französisch/Spanisch 3. Fremdsprache			
HB_0000016	Individual	Geographie			
HB_0000017	Individual	Geschichte			
HB_0000018	Individual	Geschichte bilingual			
HB_0000019	Individual	Gesellschaft und Politik			
HB_0000020	Individual	Herkunftssprachen			
HB_0000021	Individual	Informatik			
HB_0000022	Individual	Kunst			
HB_0000023	Individual	Latein			
HB_0000024	Individual	Latein 2. Fremdsprache			
HB_0000025	Individual	Latein 3. Fremdsprache			
HB_0000026	Individual	Mathematik			
HB_0000027	Individual	Medienbildung			
HB_0000028	Individual	Musik			
HB_0000029	Individual	Naturwissenschaften, Biologie, Chemie, Physik			
HB_0000030	Individual	Pädagogik			
HB_0000031	Individual	Philosophie			
HB_0000032	Individual	Physik			
HB_0000033	Individual	Politik			
HB_0000034	Individual	Polnisch			
HB_0000035	Individual	Psychologie			
HB_0000036	Individual	Religion			
HB_0000037	Individual	Russisch			
HB_0000038	Individual	Sachunterricht			
HB_0000039	Individual	Soziologie			
HB_0000040	Individual	Spanisch			
HB_0000041	Individual	Sport			
HB_0000042	Individual	Türkisch			
HB_0000043	Individual	Welt-Umweltkunde, Geschichte, Geographie, Politik			
HB_0000044	Individual	Wirtschaft-Arbeit-Technik			
HB_0000045	Individual	Wirtschaft/Arbeit/Technik			
HB_0000046	Individual	Wirtschaftslehre			
HE_0000000	Individual	Schulfächer (Hessen)			
HE_0000001	Individual	Alevitische Religion			
HE_0000002	Individual	Arabisch			
HE_0000003	Individual	Arbeitslehre			
HE_0000004	Individual	Biologie			
HE_0000005	Individual	Chemie			
HE_0000006	Individual	Chinesisch			
HE_0000007	Individual	Darstellendes Spiel			
HE_0000008	Individual	Deutsch			
HE_0000009	Individual	Deutsche Gebärdensprache			
HE_0000010	Individual	Englisch			
HE_0000011	Individual	Erdkunde			
HE_0000012	Individual	Ethik			
HE_0000013	Individual	Evangelische Religion			
HE_0000014	Individual	Französisch			
HE_0000015	Individual	Geographie			
HE_0000016	Individual	Geschichte			
HE_0000017	Individual	Griechisch			
HE_0000018	Individual	Informatik			
HE_0000019	Individual	Informatik (Wahlunterricht im gymnasialen Bildungsgang)			
HE_0000020	Individual	Islamische Religion			
HE_0000021	Individual	Italienisch			
HE_0000022	Individual	Jüdische Religion			
HE_0000023	Individual	Katholische Religion			
HE_0000024	Individual	Kunst			
HE_0000025	Individual	Latein			
HE_0000026	Individual	Litauisch			
HE_0000027	Individual	Mathematik			
HE_0000028	Individual	Moderne Fremdsprachen			
HE_0000029	Individual	Musik			
HE_0000030	Individual	Philosophie			
HE_0000031	Individual	Physik			
HE_0000032	Individual	Politik und Wirtschaft			
HE_0000033	Individual	Polnisch			
HE_0000034	Individual	Russisch			
HE_0000035	Individual	Sachunterricht			
HE_0000036	Individual	Spanisch			
HE_0000037	Individual	Sport			
HE_0000038	Individual	Wirtschaftswissenschaften			
HH_0000000	Individual	Schulfächer (Hamburg)			
HH_0000001	Individual	Sprachbildung als Querschnittsaufgabe-Rahmenvorgaben			
HH_0000002	Individual	Aufgabengebiete			
HH_0000003	Individual	Bildende Kunst			
HH_0000004	Individual	Deutsch			
HH_0000005	Individual	Deutsch als Zweitsprache in Vorbereitungsklassen			
HH_0000006	Individual	Englisch			
HH_0000007	Individual	Neuere Fremdsprachen: Englisch			
HH_0000008	Individual	Herkunftssprachen			
HH_0000009	Individual	Mathematik			
HH_0000010	Individual	Musik			
HH_0000011	Individual	Niederdeutsch			
HH_0000012	Individual	Religion			
HH_0000013	Individual	Sachunterricht			
HH_0000014	Individual	Sport			
HH_0000015	Individual	Theater			
HH_0000016	Individual	Alte Sprachen: Latein			
HH_0000017	Individual	Alte Sprachen			
HH_0000018	Individual	Alte Sprachen: Griechisch			
HH_0000019	Individual	Berufliche Orientierung - Leben, Arbeit, Beruf			
